,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
"(('V_MO1', 'night'), ('V_MO4', 'night'))",0.929,0.7915,0.3297,0.7538,0.7704,0.3389,92737.7879,16799.0371,0.7703,8.976418785910699,25.71302604675293,42.55767822265625
"(('V_MO1', 'night'), ('V_MO4', 'morning'))",0.925,0.788,0.3264,0.7473,0.764,0.3381,93696.4998,16778.1523,0.7621,8.981824407617555,25.490501403808594,42.53110122680664
"(('V_MO1', 'morning'), ('V_MO2', 'night'))",0.9107,0.7034,0.3372,0.7152,0.7585,0.3012,124543.3488,16748.2305,0.7296,8.998399552908193,24.396724700927734,41.671939849853516
"(('V_MO1', 'morning'), ('V_MO2', 'morning'))",0.9209,0.721,0.3249,0.7449,0.7571,0.3124,119329.7435,16802.2598,0.7613,8.977312346920783,25.410053253173828,42.27411651611328
"(('V_MO1', 'morning'), ('V_MO3', 'night'))",0.9275,0.789,0.3304,0.7501,0.7685,0.3389,93670.8974,16794.5215,0.7656,8.993251084917574,25.58633804321289,42.526466369628906
"(('V_MO1', 'morning'), ('V_MO3', 'morning'))",0.9283,0.7869,0.3326,0.7497,0.7718,0.3389,94590.9352,16783.2969,0.7647,8.99432160012742,25.57132339477539,42.51394271850586
"(('V_MO1', 'morning'), ('V_MO4', 'night'))",0.9282,0.7897,0.3303,0.7498,0.7687,0.3389,92935.1993,16784.6855,0.7653,8.985489087421808,25.577381134033203,42.51603698730469
"(('V_MO1', 'morning'), ('V_MO4', 'morning'))",0.9254,0.7897,0.3285,0.7449,0.7656,0.3389,93668.4477,16762.1543,0.7581,8.98676538986444,25.40985107421875,42.49809646606445
"(('V_MO2', 'night'), ('V_MO2', 'morning'))",0.9291,0.7904,0.3324,0.7543,0.7706,0.3385,93633.8193,16775.0781,0.7722,8.999809658038327,25.729814529418945,42.49555969238281
"(('V_MO2', 'night'), ('V_MO3', 'night'))",0.9136,0.7193,0.3369,0.7234,0.7605,0.3022,118952.2016,16763.168,0.7406,8.999290010758147,24.675878524780273,41.72262191772461
"(('V_MO2', 'night'), ('V_MO3', 'morning'))",0.9156,0.7038,0.34,0.7255,0.7644,0.3012,124466.8573,16752.1934,0.7443,8.998635790258056,24.747957229614258,41.70220184326172
"(('V_MO2', 'night'), ('V_MO4', 'night'))",0.91,0.7031,0.335,0.7131,0.7581,0.3015,125121.7982,16727.2695,0.7213,8.997150020724568,24.323768615722656,41.672054290771484
"(('V_MO2', 'night'), ('V_MO4', 'morning'))",0.9157,0.7066,0.3384,0.727,0.7639,0.3022,123795.5019,16775.6543,0.7467,9.0,24.799510955810547,41.748775482177734
"(('V_MO2', 'morning'), ('V_MO3', 'night'))",0.9223,0.7429,0.3255,0.7445,0.7589,0.3223,111663.1285,16781.0977,0.7594,8.979117171199492,25.39358139038086,42.26764678955078
"(('V_MO2', 'morning'), ('V_MO3', 'morning'))",0.9282,0.7246,0.3334,0.7558,0.7681,0.3149,118992.4329,16759.8496,0.777,8.972106755037998,25.77977752685547,42.2083854675293
"(('V_MO2', 'morning'), ('V_MO4', 'night'))",0.9277,0.7228,0.3312,0.7524,0.7669,0.3153,119372.7755,16771.4199,0.7712,8.99604492685689,25.663043975830078,42.2435302734375
"(('V_MO2', 'morning'), ('V_MO4', 'morning'))",0.9217,0.7432,0.3243,0.7425,0.7578,0.3216,111592.714,16760.8242,0.7562,8.974657814229761,25.325986862182617,42.252437591552734
"(('V_MO3', 'night'), ('V_MO3', 'morning'))",0.9291,0.7904,0.3324,0.7543,0.7706,0.3385,93633.8193,16775.0781,0.7722,8.999809658038327,25.729814529418945,42.49555969238281
"(('V_MO3', 'night'), ('V_MO4', 'night'))",0.9238,0.7784,0.3242,0.7417,0.7621,0.3389,97787.442,16777.8711,0.7531,8.974601234037582,25.300947189331055,42.55997848510742
"(('V_MO3', 'night'), ('V_MO4', 'morning'))",0.923,0.777,0.325,0.7401,0.762,0.3381,98713.8968,16754.9844,0.7505,8.976415318989925,25.243467330932617,42.528564453125
"(('V_MO3', 'morning'), ('V_MO4', 'night'))",0.9268,0.7788,0.3279,0.7458,0.7669,0.3389,97833.6515,16788.748,0.7593,8.985730983756287,25.440277099609375,42.55766296386719
"(('V_MO3', 'morning'), ('V_MO4', 'morning'))",0.9245,0.777,0.3264,0.7457,0.7645,0.3381,98806.9657,16766.9199,0.7593,8.981338077542715,25.436756134033203,42.54066467285156
"(('V_MO4', 'night'), ('V_MO4', 'morning'))",0.9291,0.7904,0.3324,0.7543,0.7706,0.3385,93633.8193,16775.0781,0.7722,8.999809658038327,25.729814529418945,42.49555969238281
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_MO1', 'night'))",0.9282,0.7749,0.3279,0.7526,0.7727,0.336,99718.1034,16724.7422,0.7692,8.974339013971404,25.67144012451172,43.095245361328125
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_MO1', 'morning'))",0.9297,0.776,0.3304,0.7535,0.7745,0.3374,99810.4618,16711.1934,0.7697,8.964679348489012,25.701168060302734,43.053863525390625
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_MO2', 'night'))",0.9211,0.7214,0.3424,0.7335,0.7756,0.304,118343.6019,16701.082,0.7533,8.973948424740117,25.02043914794922,42.286766052246094
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_MO2', 'morning'))",0.9263,0.746,0.3279,0.7508,0.769,0.323,110563.0517,16728.5703,0.7677,8.98356403264199,25.61083221435547,42.847511291503906
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_MO3', 'night'))",0.9293,0.7897,0.3282,0.7524,0.7728,0.3378,94361.4195,16716.043,0.7682,8.971403967453803,25.665279388427734,43.093196868896484
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_MO3', 'morning'))",0.9284,0.689,0.3281,0.7556,0.773,0.305,134027.2596,16665.6934,0.7744,8.955356134250426,25.774738311767578,43.043983459472656
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_MO4', 'night'))",0.9324,0.7929,0.3306,0.7594,0.7777,0.3381,92719.3325,16693.7148,0.7771,8.848526588859809,25.901695251464844,43.06514358520508
"(('V_CO', 'night'), ('V_CO', 'morning'), ('V_MO4', 'morning'))",0.9292,0.7894,0.3269,0.7573,0.7739,0.3381,94057.5125,16738.0918,0.7753,8.939795048334243,25.83029556274414,43.13968276977539
"(('V_CO', 'night'), ('V_MO1', 'night'), ('V_MO1', 'morning'))",0.9025,0.751,0.3284,0.7038,0.6972,0.2416,103074.8333,16947.875,0.7107,8.987840488546585,24.00605010986328,38.99573516845703
"(('V_CO', 'night'), ('V_MO1', 'night'), ('V_MO2', 'night'))",0.8434,0.5181,0.3646,0.5968,0.6111,0.1543,165126.2303,16935.6309,0.5711,9.0,20.35749053955078,31.94976234436035
"(('V_CO', 'night'), ('V_MO1', 'night'), ('V_MO2', 'morning'))",0.8944,0.6668,0.3232,0.695,0.6857,0.211,133839.9605,16957.7578,0.7015,8.972198678131107,23.708091735839844,38.69642639160156
"(('V_CO', 'night'), ('V_MO1', 'night'), ('V_MO3', 'night'))",0.9009,0.7365,0.3303,0.7074,0.6967,0.23,106317.7691,16996.1953,0.7129,8.99355576542916,24.130584716796875,38.906742095947266
"(('V_CO', 'night'), ('V_MO1', 'night'), ('V_MO3', 'morning'))",0.9023,0.74,0.3284,0.704,0.696,0.2402,105775.0479,16921.8711,0.7096,8.987840488546585,24.011974334716797,38.994754791259766
"(('V_CO', 'night'), ('V_MO1', 'night'), ('V_MO4', 'night'))",0.9001,0.6967,0.3285,0.7045,0.6911,0.2064,115065.1554,16971.3477,0.7099,8.988141292593035,24.03179168701172,38.89372634887695
"(('V_CO', 'night'), ('V_MO1', 'night'), ('V_MO4', 'morning'))",0.9014,0.751,0.3262,0.7043,0.6944,0.2395,102408.3723,16954.25,0.7097,8.981222799524652,24.022769927978516,39.00248336791992
"(('V_CO', 'night'), ('V_MO1', 'morning'), ('V_MO2', 'night'))",0.8429,0.5203,0.3663,0.5957,0.61,0.1539,164980.7921,16915.6348,0.5717,9.0,20.317691802978516,31.91315269470215
"(('V_CO', 'night'), ('V_MO1', 'morning'), ('V_MO2', 'morning'))",0.8947,0.671,0.3233,0.6939,0.6853,0.2085,132181.339,16952.0566,0.7004,8.972499482177561,23.670480728149414,38.69833755493164
"(('V_CO', 'night'), ('V_MO1', 'morning'), ('V_MO3', 'night'))",0.9022,0.7474,0.3287,0.7032,0.6976,0.2406,103389.5667,16944.791,0.7098,8.988742900685939,23.98780632019043,38.9828987121582
"(('V_CO', 'night'), ('V_MO1', 'morning'), ('V_MO3', 'morning'))",0.904,0.7485,0.3305,0.7068,0.7012,0.2434,103403.5498,16936.5215,0.7139,8.994157373522064,24.10956573486328,38.969417572021484
"(('V_CO', 'night'), ('V_MO1', 'morning'), ('V_MO4', 'night'))",0.9005,0.7133,0.3279,0.7029,0.6933,0.23,112919.2954,16971.9785,0.71,8.986336468314327,23.977088928222656,38.932716369628906
"(('V_CO', 'night'), ('V_MO1', 'morning'), ('V_MO4', 'morning'))",0.9029,0.7513,0.3288,0.7039,0.6974,0.2416,102497.029,16947.957,0.7104,8.98904370473239,24.00992202758789,38.98990249633789
"(('V_CO', 'night'), ('V_MO2', 'night'), ('V_MO2', 'morning'))",0.9025,0.751,0.3284,0.7038,0.6972,0.2416,103074.8333,16947.875,0.7107,8.987840488546585,24.00605010986328,38.99573516845703
"(('V_CO', 'night'), ('V_MO2', 'night'), ('V_MO3', 'night'))",0.8408,0.5224,0.3613,0.5925,0.6024,0.1539,164857.8343,16912.8398,0.5643,9.0,20.21172332763672,31.939664840698242
"(('V_CO', 'night'), ('V_MO2', 'night'), ('V_MO3', 'morning'))",0.8402,0.5203,0.3594,0.5923,0.6017,0.1539,164826.3703,16924.8535,0.5643,9.0,20.20431900024414,31.951772689819336
"(('V_CO', 'night'), ('V_MO2', 'night'), ('V_MO4', 'night'))",0.8406,0.5213,0.3601,0.5935,0.603,0.1543,164966.8697,16926.0156,0.5644,9.0,20.243022918701172,31.95945930480957
"(('V_CO', 'night'), ('V_MO2', 'night'), ('V_MO4', 'morning'))",0.8438,0.5231,0.3644,0.5977,0.6125,0.1539,164206.9664,16919.2539,0.5743,9.0,20.386188507080078,31.889421463012695
"(('V_CO', 'night'), ('V_MO2', 'morning'), ('V_MO3', 'night'))",0.8948,0.6749,0.3235,0.6943,0.6864,0.2124,132034.5842,16953.0273,0.7015,8.973101090270463,23.683725357055664,38.70909118652344
"(('V_CO', 'night'), ('V_MO2', 'morning'), ('V_MO3', 'morning'))",0.8945,0.6735,0.3218,0.6938,0.6848,0.2106,132634.7816,16954.6836,0.7002,8.967987421480789,23.664043426513672,38.728797912597656
"(('V_CO', 'night'), ('V_MO2', 'morning'), ('V_MO4', 'night'))",0.8948,0.6601,0.3247,0.6968,0.6869,0.2011,134957.1225,16965.5469,0.7052,8.97671073882788,23.769489288330078,38.6386833190918
"(('V_CO', 'night'), ('V_MO2', 'morning'), ('V_MO4', 'morning'))",0.8917,0.6862,0.3178,0.692,0.6813,0.2184,127297.8202,16955.8086,0.6984,8.95595525962273,23.60444450378418,38.72738265991211
"(('V_CO', 'night'), ('V_MO3', 'night'), ('V_MO3', 'morning'))",0.9025,0.751,0.3284,0.7038,0.6972,0.2416,103074.8333,16947.875,0.7107,8.987840488546585,24.00605010986328,38.99573516845703
"(('V_CO', 'night'), ('V_MO3', 'night'), ('V_MO4', 'night'))",0.9017,0.7464,0.3288,0.7048,0.6953,0.2409,103808.5319,16953.1348,0.7116,8.98904370473239,24.041221618652344,38.921852111816406
