,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
"(('CV3', 'morning'), ('CV12', 'night'))",0.9219,0.633,0.3285,0.7492,0.7622,0.2871,150874.136,16739.627,0.7712,8.969452345381887,25.553546905517578,42.20134735107422
"(('CV3', 'morning'), ('CV12', 'morning'))",0.9185,0.6573,0.3388,0.7401,0.769,0.4745,140427.001,16591.1016,0.7571,8.990852054071645,25.24495506286621,42.00320053100586
"(('CV12', 'night'), ('CV12', 'morning'))",0.9273,0.745,0.3317,0.7507,0.7707,0.5019,111126.2449,16744.2773,0.7664,8.999036438881191,25.60690689086914,42.2656135559082
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'night'))",0.9283,0.7467,0.3325,0.7537,0.7721,0.5019,109656.8386,16744.2207,0.7706,8.929340880527045,25.7073974609375,42.261756896972656
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'morning'))",0.9295,0.7323,0.3349,0.7524,0.7748,0.4942,115935.2299,16743.5625,0.7691,8.932633477270734,25.663936614990234,42.258174896240234
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV3', 'night'))",0.9184,0.7605,0.3249,0.7371,0.7599,0.5174,103133.5801,16729.3184,0.7502,8.814798988667352,25.143287658691406,42.23475646972656
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV3', 'morning'))",0.9217,0.6823,0.3289,0.7417,0.7659,0.4773,132197.6311,16732.9707,0.7563,8.990901962299212,25.300336837768555,42.25663375854492
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV12', 'night'))",0.9265,0.7242,0.3298,0.7512,0.7653,0.316,119184.179,16782.9824,0.7699,8.977267801731028,25.622833251953125,42.257442474365234
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV12', 'morning'))",0.9256,0.745,0.3395,0.7479,0.7749,0.5019,111036.1103,16678.2539,0.762,8.97674281878303,25.511035919189453,42.154232025146484
"(('V_TR', 'night'), ('CV8', 'night'), ('CV8', 'morning'))",0.9239,0.6474,0.3273,0.7556,0.7616,0.2628,149577.3583,16357.1182,0.7821,8.876737325828708,25.774688720703125,42.33153533935547
"(('V_TR', 'night'), ('CV8', 'night'), ('CV3', 'night'))",0.9141,0.5882,0.3166,0.7411,0.7006,0.1574,163651.3688,15361.9131,0.7711,8.851724236148364,25.279287338256836,42.30874252319336
"(('V_TR', 'night'), ('CV8', 'night'), ('CV3', 'morning'))",0.921,0.6319,0.3267,0.755,0.7608,0.2603,154092.2036,16391.3027,0.7828,8.876380584107618,25.75429344177246,42.330326080322266
"(('V_TR', 'night'), ('CV8', 'night'), ('CV12', 'night'))",0.9288,0.7024,0.3263,0.7678,0.7476,0.2353,122714.5637,16974.3848,0.7959,8.767536150774461,26.191329956054688,42.39323806762695
"(('V_TR', 'night'), ('CV8', 'night'), ('CV12', 'morning'))",0.9298,0.6228,0.3404,0.7656,0.7745,0.1958,155258.9544,16506.5527,0.796,8.747568685419628,26.114192962646484,42.35346984863281
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV3', 'night'))",0.9134,0.5882,0.3157,0.7391,0.6996,0.1578,163686.2515,15362.1592,0.769,8.858014457713587,25.210742950439453,42.312950134277344
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV3', 'morning'))",0.9182,0.6319,0.3242,0.7443,0.7557,0.261,154083.8524,16357.7256,0.7689,8.943525658156332,25.389759063720703,42.34608840942383
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV12', 'night'))",0.9285,0.7031,0.3255,0.7675,0.7478,0.2356,122816.1289,16965.5586,0.7944,8.77687209231468,26.17998695373535,42.43213653564453
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV12', 'morning'))",0.9299,0.6228,0.3413,0.7659,0.7747,0.1965,155248.3908,16506.5195,0.7963,8.742832434824061,26.123247146606445,42.35265350341797
"(('V_TR', 'night'), ('CV3', 'night'), ('CV3', 'morning'))",0.9239,0.6474,0.3273,0.7556,0.7616,0.2628,149577.3583,16357.1182,0.7821,8.876737325828708,25.774688720703125,42.33153533935547
"(('V_TR', 'night'), ('CV3', 'night'), ('CV12', 'night'))",0.9204,0.6668,0.3192,0.7635,0.6998,0.2032,133990.6135,17019.6367,0.7756,8.871571164517466,26.042009353637695,42.292388916015625
"(('V_TR', 'night'), ('CV3', 'night'), ('CV12', 'morning'))",0.913,0.6125,0.3261,0.7439,0.6977,0.1659,150838.6486,15281.1104,0.7728,8.868262715673637,25.37384796142578,42.195980072021484
"(('V_TR', 'night'), ('CV3', 'morning'), ('CV12', 'night'))",0.9288,0.6231,0.3273,0.7692,0.7491,0.2092,151599.8045,16951.8828,0.7983,8.75466192637527,26.238910675048828,42.377017974853516
"(('V_TR', 'night'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9235,0.6523,0.3389,0.7527,0.7677,0.2628,148215.6778,16370.7305,0.7799,8.911846964374098,25.673233032226562,42.18467712402344
"(('V_TR', 'night'), ('CV12', 'night'), ('CV12', 'morning'))",0.9239,0.6474,0.3273,0.7556,0.7616,0.2628,149577.3583,16357.1182,0.7821,8.876737325828708,25.774688720703125,42.33153533935547
"(('V_TR', 'morning'), ('CV8', 'night'), ('CV8', 'morning'))",0.9295,0.7471,0.338,0.7497,0.7777,0.5019,109746.8058,16782.5977,0.7647,8.917718702601924,25.57293701171875,42.29745101928711
"(('V_TR', 'morning'), ('CV8', 'night'), ('CV3', 'night'))",0.9244,0.7573,0.3357,0.7412,0.773,0.5153,104420.7201,16785.8105,0.7565,8.85437963715325,25.281267166137695,42.267913818359375
"(('V_TR', 'morning'), ('CV8', 'night'), ('CV3', 'morning'))",0.9326,0.627,0.3422,0.7584,0.7832,0.2434,153971.3425,16925.582,0.7808,8.779285387182892,25.870189666748047,42.5981330871582
"(('V_TR', 'morning'), ('CV8', 'night'), ('CV12', 'night'))",0.9288,0.7408,0.3362,0.7515,0.771,0.3198,112671.3916,16829.8477,0.7697,8.959910620438157,25.632259368896484,42.28792190551758
"(('V_TR', 'morning'), ('CV8', 'night'), ('CV12', 'morning'))",0.9298,0.7474,0.3422,0.7559,0.7816,0.5055,110298.5444,16704.793,0.7751,8.832731159096209,25.784191131591797,42.20890426635742
"(('V_TR', 'morning'), ('CV8', 'morning'), ('CV3', 'night'))",0.9248,0.758,0.3364,0.7402,0.7736,0.5157,104352.9108,16785.2695,0.7548,8.847605070333117,25.24702262878418,42.26707077026367
"(('V_TR', 'morning'), ('CV8', 'morning'), ('CV3', 'morning'))",0.9281,0.6273,0.3378,0.753,0.7772,0.2427,153976.521,16926.9941,0.7739,8.918501967500715,25.685089111328125,42.61113739013672
"(('V_TR', 'morning'), ('CV8', 'morning'), ('CV12', 'night'))",0.9289,0.7404,0.3363,0.75,0.7705,0.3216,112660.7061,16853.6504,0.7677,8.971667092333341,25.582874298095703,42.3165168762207
"(('V_TR', 'morning'), ('CV8', 'morning'), ('CV12', 'morning'))",0.9278,0.7471,0.34,0.7514,0.7785,0.5058,110289.8188,16737.4199,0.7681,8.92419924445293,25.62873077392578,42.23384475708008
"(('V_TR', 'morning'), ('CV3', 'night'), ('CV3', 'morning'))",0.9295,0.7471,0.338,0.7497,0.7777,0.5019,109746.8058,16782.5977,0.7647,8.917718702601924,25.57293701171875,42.29745101928711
"(('V_TR', 'morning'), ('CV3', 'night'), ('CV12', 'night'))",0.93,0.7129,0.3405,0.7493,0.7768,0.3089,122520.7305,16826.9531,0.7686,8.925982108222502,25.55718231201172,42.293190002441406
"(('V_TR', 'morning'), ('CV3', 'night'), ('CV12', 'morning'))",0.9281,0.7397,0.3429,0.7483,0.7811,0.5122,109635.0476,16731.4609,0.7659,8.90807105650191,25.52450180053711,42.197269439697266
"(('V_TR', 'morning'), ('CV3', 'morning'), ('CV12', 'night'))",0.9315,0.5107,0.3398,0.7605,0.7765,0.1363,179824.0322,17024.4531,0.787,8.788659193198054,25.93902015686035,42.59038543701172
"(('V_TR', 'morning'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9285,0.6213,0.339,0.7535,0.7754,0.2096,152301.7194,16952.0703,0.7768,8.906433803025312,25.701244354248047,42.60242462158203
"(('V_TR', 'morning'), ('CV12', 'night'), ('CV12', 'morning'))",0.9295,0.7471,0.338,0.7497,0.7777,0.5019,109746.8058,16782.5977,0.7647,8.917718702601924,25.57293701171875,42.29745101928711
"(('CV8', 'night'), ('CV8', 'morning'), ('CV3', 'night'))",0.9184,0.7605,0.3254,0.7377,0.7605,0.5171,103208.5229,16729.3047,0.7515,8.817582312063779,25.164409637451172,42.23023223876953
