,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
48,0,0,1,1,0,0,0,0,0.413,0.1472,0.5942,0.2478,0.1986,0.0807,280216.354,54.2363,-0.1274
49,0,0,1,1,0,0,0,1,0.4178,0.0852,0.6013,0.2468,0.1981,0.0761,299568.576,73.2433,-0.1245
50,0,0,1,1,0,0,1,0,0.4066,0.1405,0.6029,0.2412,0.1951,0.08,281396.3553,54.2363,-0.1471
51,0,0,1,1,0,0,1,1,0.4046,0.105,0.5992,0.2395,0.1939,0.0789,293314.1604,54.2615,-0.1635
52,0,0,1,1,0,1,0,0,0.4052,0.0944,0.6014,0.2422,0.1965,0.0771,297190.4678,73.224,-0.1501
53,0,0,1,1,0,1,0,1,0.4099,0.0852,0.6025,0.243,0.1964,0.0761,299344.3254,54.2717,-0.1522
54,0,0,1,1,0,1,1,0,0.405,0.0845,0.6059,0.2401,0.1956,0.0768,299334.9432,54.2647,-0.1541
55,0,0,1,1,0,1,1,1,0.4049,0.0845,0.5966,0.2365,0.1936,0.0733,299276.4799,54.2717,-0.1537
56,0,0,1,1,1,0,0,0,0.4154,0.0782,0.5976,0.2443,0.1983,0.0733,303397.906,113.7729,-0.1287
57,0,0,1,1,1,0,0,1,0.4029,0.1187,0.5964,0.2384,0.1944,0.0761,289498.6657,54.2615,-0.1548
58,0,0,1,1,1,0,1,0,0.4026,0.1416,0.599,0.2304,0.1918,0.0803,281009.4802,54.2363,-0.1704
59,0,0,1,1,1,0,1,1,0.4159,0.0814,0.6025,0.2445,0.198,0.0743,302363.1704,54.2615,-0.1395
60,0,0,1,1,1,1,0,0,0.4152,0.1169,0.5951,0.244,0.1988,0.0838,287913.0063,92.2257,-0.1277
61,0,0,1,1,1,1,0,1,0.4173,0.1247,0.596,0.2392,0.1964,0.0814,287435.3147,111.5166,-0.1367
62,0,0,1,1,1,1,1,0,0.4148,0.0831,0.5992,0.2394,0.1947,0.0757,301829.6811,54.2647,-0.1439
63,0,0,1,1,1,1,1,1,0.4223,0.1574,0.6009,0.2453,0.1987,0.0842,273404.289,54.2717,-0.1398
64,0,1,0,0,0,0,0,0,0.5013,0.1585,0.5886,0.2772,0.3025,0.0997,273188.3794,2801.3718,0.0077
65,0,1,0,0,0,0,0,1,0.4723,0.0785,0.5658,0.2642,0.2776,0.0722,302724.5467,347.316,-0.007
66,0,1,0,0,0,0,1,0,0.4782,0.1071,0.5664,0.2617,0.2777,0.0736,292698.5509,381.899,-0.0113
67,0,1,0,0,0,0,1,1,0.4772,0.1155,0.5693,0.2651,0.2773,0.0747,292102.8364,270.9662,-0.0048
68,0,1,0,0,0,1,0,0,0.4761,0.106,0.569,0.2687,0.278,0.0729,291794.0214,286.4655,-0.0125
69,0,1,0,0,0,1,0,1,0.4795,0.1381,0.5727,0.2706,0.2785,0.0747,285689.4011,305.9367,-0.0109
70,0,1,0,0,0,1,1,0,0.4692,0.0845,0.5739,0.2592,0.2762,0.074,300385.8009,258.031,-0.0218
71,0,1,0,0,0,1,1,1,0.4883,0.1233,0.5752,0.2766,0.2824,0.0733,285903.2052,419.2574,-0.0007
72,0,1,0,0,1,0,0,0,0.4669,0.0845,0.5623,0.2582,0.2758,0.0736,299816.3358,395.1336,-0.0168
73,0,1,0,0,1,0,0,1,0.4746,0.08,0.5706,0.2664,0.2812,0.0729,301344.7855,295.9156,-0.0072
74,0,1,0,0,1,0,1,0,0.4822,0.0824,0.5708,0.2604,0.2786,0.0736,302122.1184,372.4418,-0.0085
