,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
48,0,0,1,1,0,0,0,0,0.8823,0.6936,0.3316,0.6793,0.7063,0.4153,131027.3377,15240.8633,0.6707
49,0,0,1,1,0,0,0,1,0.8825,0.6714,0.3319,0.6794,0.7056,0.2455,137209.3528,15240.1289,0.6713
50,0,0,1,1,0,0,1,0,0.8836,0.6217,0.3322,0.6827,0.7071,0.2353,154069.6962,15246.6152,0.6771
51,0,0,1,1,0,0,1,1,0.878,0.1832,0.3304,0.6773,0.7025,0.1236,269421.8002,15243.3857,0.6703
52,0,0,1,1,0,1,0,0,0.8816,0.7031,0.3315,0.6778,0.7053,0.4206,128409.8124,15240.0527,0.6694
53,0,0,1,1,0,1,0,1,0.883,0.684,0.3325,0.6818,0.7067,0.2381,132978.4461,15255.7471,0.6746
54,0,0,1,1,0,1,1,0,0.883,0.6569,0.3325,0.6808,0.706,0.2536,143160.5311,15240.0498,0.6744
55,0,0,1,1,0,1,1,1,0.883,0.6999,0.3313,0.6821,0.7068,0.3892,129352.0078,15253.6035,0.674
56,0,0,1,1,1,0,0,0,0.8819,0.5597,0.3316,0.6794,0.707,0.2075,175023.1944,15240.0293,0.6731
57,0,0,1,1,1,0,0,1,0.8833,0.7323,0.3326,0.6816,0.7081,0.4748,118483.5093,15240.1289,0.6716
58,0,0,1,1,1,0,1,0,0.8812,0.7436,0.3314,0.6766,0.7042,0.4695,113435.2365,15222.8789,0.6681
59,0,0,1,1,1,0,1,1,0.8806,0.7136,0.331,0.676,0.7033,0.4336,124660.4022,15240.1328,0.6677
60,0,0,1,1,1,1,0,0,0.8833,0.671,0.3325,0.682,0.7075,0.2353,136448.5755,15245.1631,0.6743
61,0,0,1,1,1,1,0,1,0.8828,0.6467,0.3324,0.682,0.7072,0.2966,145761.2117,15240.1367,0.6749
62,0,0,1,1,1,1,1,0,0.8808,0.7136,0.3311,0.676,0.7037,0.4336,124660.5532,15222.8945,0.6678
63,0,0,1,1,1,1,1,1,0.8805,0.721,0.3308,0.676,0.7032,0.4396,122919.6382,15240.1348,0.6676
64,0,1,0,0,0,0,0,0,0.8992,0.6629,0.3468,0.6736,0.7279,0.2702,138898.7314,15141.1113,0.6867
65,0,1,0,0,0,0,0,1,0.9007,0.6347,0.3407,0.6789,0.7273,0.2173,147448.9615,15316.1934,0.6974
66,0,1,0,0,0,0,1,0,0.9022,0.6351,0.3355,0.6881,0.7303,0.299,155975.9102,15453.1113,0.6943
67,0,1,0,0,0,0,1,1,0.9033,0.5974,0.3331,0.6892,0.7318,0.2177,163965.0547,15609.4268,0.6976
68,0,1,0,0,0,1,0,0,0.9009,0.6375,0.3418,0.6769,0.7296,0.2522,149632.4503,15315.6387,0.6928
69,0,1,0,0,0,1,0,1,0.9035,0.627,0.3425,0.6848,0.7311,0.224,151372.0397,15324.5732,0.7036
70,0,1,0,0,0,1,1,0,0.9063,0.5865,0.335,0.6958,0.7377,0.3026,169429.1863,15604.1621,0.702
71,0,1,0,0,0,1,1,1,0.9073,0.7703,0.3358,0.6986,0.739,0.4988,103235.9449,15600.707,0.703
72,0,1,0,0,1,0,0,0,0.9041,0.6601,0.3358,0.6928,0.7307,0.2173,138588.3045,15326.9863,0.7003
73,0,1,0,0,1,0,0,1,0.9046,0.6678,0.3311,0.6963,0.7307,0.286,139013.1947,15541.2041,0.7037
74,0,1,0,0,1,0,1,0,0.9016,0.7327,0.3348,0.6877,0.7285,0.4593,116775.403,15325.6016,0.6914
75,0,1,0,0,1,0,1,1,0.9029,0.7319,0.3316,0.6915,0.7298,0.4572,117064.5294,15539.8965,0.6963
76,0,1,0,0,1,1,0,0,0.9055,0.6904,0.3336,0.6949,0.7341,0.4406,130076.6221,15540.6543,0.6999
