,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
48,0,0,1,1,0,0,0,0,0.9568,0.7062,0.2824,0.8293,0.8488,0.2948,105847.6699,16647.4062,0.8573
49,0,0,1,1,0,0,0,1,0.9547,0.708,0.277,0.8264,0.8445,0.2952,105203.9108,16678.8613,0.8535
50,0,0,1,1,0,0,1,0,0.9551,0.7295,0.286,0.8212,0.8526,0.3075,100407.0309,16597.7578,0.846
51,0,0,1,1,0,0,1,1,0.9547,0.7214,0.288,0.8196,0.8523,0.3033,102409.6278,16497.168,0.8454
52,0,0,1,1,0,1,0,0,0.956,0.7027,0.2708,0.825,0.844,0.2934,106853.2326,16974.8613,0.8526
53,0,0,1,1,0,1,0,1,0.9525,0.6752,0.2597,0.8222,0.8333,0.2917,112683.5102,17001.0273,0.8493
54,0,0,1,1,0,1,1,0,0.9534,0.7126,0.2704,0.8151,0.8436,0.2955,104573.9455,17049.0566,0.8423
55,0,0,1,1,0,1,1,1,0.9458,0.7119,0.2567,0.7994,0.8269,0.2945,104686.2647,17018.166,0.8193
56,0,0,1,1,1,0,0,0,0.9574,0.7693,0.2765,0.8293,0.8474,0.3311,90719.8135,16729.5371,0.8513
57,0,0,1,1,1,0,0,1,0.9548,0.7654,0.2744,0.8273,0.8429,0.3318,91512.5697,16705.9941,0.8493
58,0,0,1,1,1,0,1,0,0.9487,0.8158,0.2681,0.8053,0.8363,0.3875,80459.9035,16781.6445,0.8241
59,0,0,1,1,1,0,1,1,0.9458,0.8158,0.265,0.8007,0.8309,0.3871,80466.5121,16765.7637,0.8183
60,0,0,1,1,1,1,0,0,0.9579,0.8647,0.2699,0.8259,0.8472,0.6238,62370.7862,17022.2129,0.8461
61,0,0,1,1,1,1,0,1,0.9535,0.8647,0.2569,0.8235,0.8343,0.6245,62296.5694,17085.0117,0.8427
62,0,0,1,1,1,1,1,0,0.95,0.8672,0.26,0.8038,0.8346,0.634,61476.0431,17187.7969,0.8224
63,0,0,1,1,1,1,1,1,0.9442,0.8672,0.2487,0.7955,0.82,0.6344,61475.5861,17212.9199,0.8112
64,0,1,0,0,0,0,0,0,0.9553,0.6995,0.2857,0.8261,0.8474,0.2931,107531.0501,14904.8027,0.8551
65,0,1,0,0,0,0,0,1,0.9531,0.7017,0.2865,0.8236,0.8442,0.2938,107026.9437,14776.709,0.8525
66,0,1,0,0,0,0,1,0,0.9531,0.7224,0.2882,0.8161,0.8497,0.3008,102422.9773,14839.5615,0.8406
67,0,1,0,0,0,0,1,1,0.9492,0.7147,0.2912,0.8111,0.8456,0.2952,104128.9022,14649.8867,0.8372
68,0,1,0,0,0,1,0,0,0.9543,0.7013,0.276,0.8236,0.8426,0.2909,107217.8175,15215.9551,0.8536
69,0,1,0,0,0,1,0,1,0.9498,0.7017,0.2642,0.8178,0.8297,0.2931,107363.6962,15242.79,0.8464
70,0,1,0,0,0,1,1,0,0.951,0.7098,0.2777,0.8126,0.8436,0.2948,104775.1085,15165.3047,0.8365
71,0,1,0,0,0,1,1,1,0.9455,0.7126,0.2654,0.8022,0.8293,0.2948,104576.0465,15175.7744,0.8228
72,0,1,0,0,1,0,0,0,0.9569,0.7636,0.2824,0.8299,0.8483,0.3265,92170.0968,14981.9648,0.8536
73,0,1,0,0,1,0,0,1,0.9532,0.7654,0.2809,0.8255,0.843,0.3308,91641.7458,14897.6875,0.8484
74,0,1,0,0,1,0,1,0,0.9501,0.8101,0.2779,0.8066,0.8404,0.3868,82191.0428,14961.9326,0.8271
75,0,1,0,0,1,0,1,1,0.9471,0.8108,0.2759,0.8033,0.8358,0.3868,81874.9523,14897.0957,0.8228
76,0,1,0,0,1,1,0,0,0.9558,0.8503,0.2749,0.823,0.8463,0.6147,66401.6956,15249.1738,0.8444
77,0,1,0,0,1,1,0,1,0.9526,0.8496,0.2641,0.8221,0.8356,0.6157,66570.9576,15301.0635,0.843
78,0,1,0,0,1,1,1,0,0.9464,0.8524,0.2641,0.7986,0.8312,0.6213,66347.5734,15371.6621,0.8152
79,0,1,0,0,1,1,1,1,0.9411,0.8524,0.2535,0.7921,0.8178,0.6228,66283.0099,15386.0977,0.8066
80,0,1,0,1,0,0,0,0,0.9566,0.7024,0.2854,0.8292,0.8489,0.2931,106956.3107,15384.3506,0.8596
81,0,1,0,1,0,0,0,1,0.9529,0.7041,0.2812,0.8241,0.8426,0.2941,106350.9004,15343.9688,0.8531
82,0,1,0,1,0,0,1,0,0.9523,0.7147,0.2891,0.8155,0.8491,0.2952,104219.7989,15265.9922,0.8427
83,0,1,0,1,0,0,1,1,0.9495,0.714,0.2881,0.8106,0.8447,0.2952,104306.2817,15183.4727,0.8369
84,0,1,0,1,0,1,0,0,0.954,0.6971,0.2743,0.8231,0.8417,0.2906,108009.5568,15686.1074,0.8531
85,0,1,0,1,0,1,0,1,0.949,0.6995,0.2621,0.8173,0.8267,0.2913,107625.7604,15683.2939,0.8489
