,"('V_LL_1', 'day')","('V_LL_1', 'night')","('CV4', 'day')","('CV4', 'night')","('CV5', 'day')","('CV5', 'night')",1,2,3,4,5,6,7,8,9
51,1,1,0,0,1,1,0.917,0.7869,0.3473,0.7246,0.7615,0.5502,92631.226,16398.2812,0.7329
52,1,1,0,1,0,0,0.917,0.7869,0.3464,0.7246,0.7615,0.5502,92635.6689,16415.4062,0.7329
53,1,1,0,1,0,1,0.917,0.7869,0.3464,0.7246,0.7615,0.5502,92635.9473,16398.2891,0.7329
54,1,1,0,1,1,0,0.917,0.7869,0.3474,0.7245,0.7614,0.5502,92638.9718,16398.2871,0.7329
55,1,1,0,1,1,1,0.917,0.7869,0.3474,0.7245,0.7614,0.5502,92632.0131,16398.2852,0.7329
56,1,1,1,0,0,0,0.9172,0.7869,0.3475,0.726,0.7616,0.5502,92642.1295,16449.6562,0.7347
57,1,1,1,0,0,1,0.9164,0.7869,0.3474,0.7237,0.7604,0.5502,92646.3743,16449.7988,0.7314
58,1,1,1,0,1,0,0.9164,0.7869,0.347,0.724,0.7605,0.5502,92646.1501,16449.9199,0.732
59,1,1,1,0,1,1,0.9171,0.7869,0.348,0.7254,0.7615,0.5502,92635.843,16415.4824,0.7341
60,1,1,1,1,0,0,0.9164,0.7869,0.3475,0.7237,0.7604,0.5502,92648.1327,16449.8047,0.7314
61,1,1,1,1,0,1,0.9164,0.7869,0.3475,0.7236,0.7604,0.5502,92647.0021,16449.8008,0.7314
62,1,1,1,1,1,0,0.9164,0.7869,0.3475,0.7235,0.7604,0.5502,92668.5578,16415.6172,0.7314
63,1,1,1,1,1,1,0.9171,0.7869,0.3482,0.7254,0.7615,0.5502,92646.3027,16415.4922,0.7341
