,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
48,0,0,1,1,0,0,0,0,0.957,0.6742,0.2888,0.8257,0.8442,0.2642,116558.1275,16663.5703,0.8666
49,0,0,1,1,0,0,0,1,0.9528,0.6904,0.2864,0.8212,0.8371,0.2645,112916.7539,16539.1797,0.8603
50,0,0,1,1,0,0,1,0,0.9538,0.7133,0.2894,0.8072,0.8436,0.274,107239.6954,16676.5449,0.8362
51,0,0,1,1,0,0,1,1,0.9517,0.714,0.2886,0.806,0.8401,0.2754,106239.9612,16553.9707,0.8348
52,0,0,1,1,0,1,0,0,0.9511,0.6988,0.2756,0.8115,0.8292,0.2681,110177.8235,16858.5078,0.8539
53,0,0,1,1,0,1,0,1,0.9467,0.6967,0.2617,0.8078,0.8161,0.267,110459.8401,16833.1836,0.8461
54,0,0,1,1,0,1,1,0,0.9511,0.7168,0.2773,0.8013,0.8357,0.2751,106093.993,17023.6426,0.8282
55,0,0,1,1,0,1,1,1,0.9455,0.7147,0.2628,0.7933,0.8204,0.274,106822.7352,17026.1406,0.8178
56,0,0,1,1,1,0,0,0,0.9538,0.7425,0.2799,0.817,0.8344,0.2998,100961.7152,16594.1055,0.8465
57,0,0,1,1,1,0,0,1,0.9519,0.7341,0.2775,0.8177,0.8314,0.2892,106075.555,16576.6035,0.8463
58,0,0,1,1,1,0,1,0,0.9493,0.8024,0.2734,0.7987,0.8306,0.3614,86479.1095,16894.6328,0.8234
59,0,0,1,1,1,0,1,1,0.9481,0.8024,0.2713,0.7998,0.8278,0.3614,86538.5729,16842.293,0.8248
60,0,0,1,1,1,1,0,0,0.9578,0.8309,0.2782,0.8188,0.8425,0.5791,77512.3069,16666.3359,0.8463
61,0,0,1,1,1,1,0,1,0.9531,0.832,0.2642,0.8176,0.8286,0.5826,77136.3978,16867.3203,0.8443
62,0,0,1,1,1,1,1,0,0.9473,0.8552,0.2648,0.7926,0.8253,0.6076,66163.5995,17211.8965,0.8151
63,0,0,1,1,1,1,1,1,0.9431,0.8535,0.2534,0.7861,0.812,0.6058,66745.0448,17203.9512,0.8066
64,0,1,0,0,0,0,0,0,0.9531,0.6946,0.2932,0.8207,0.838,0.2673,110910.8241,14897.3838,0.8682
65,0,1,0,0,0,0,0,1,0.9492,0.6932,0.2872,0.8156,0.8297,0.267,111128.0467,14850.0381,0.8608
66,0,1,0,0,0,0,1,0,0.9515,0.7214,0.2934,0.807,0.8416,0.2762,104904.5735,14842.5977,0.8358
67,0,1,0,0,0,0,1,1,0.9502,0.7203,0.2946,0.8049,0.8397,0.2758,105186.6579,14723.0879,0.8331
68,0,1,0,0,0,1,0,0,0.9504,0.6918,0.2813,0.8112,0.8309,0.267,111379.1866,15168.9102,0.8527
69,0,1,0,0,0,1,0,1,0.9446,0.6925,0.267,0.8047,0.8142,0.267,111253.2507,15171.915,0.8464
70,0,1,0,0,0,1,1,0,0.9495,0.7115,0.2853,0.7998,0.8362,0.273,108025.9674,15165.79,0.826
71,0,1,0,0,0,1,1,1,0.9466,0.7091,0.2733,0.7995,0.8252,0.2712,108999.5736,15190.0127,0.8255
72,0,1,0,0,1,0,0,0,0.9503,0.7334,0.2823,0.8131,0.8311,0.2895,106085.0759,14979.9805,0.8431
73,0,1,0,0,1,0,0,1,0.9491,0.7386,0.2805,0.8128,0.8287,0.292,104295.6338,14923.3164,0.8426
74,0,1,0,0,1,0,1,0,0.9452,0.801,0.278,0.7891,0.826,0.3639,85679.8647,15038.1582,0.8104
75,0,1,0,0,1,0,1,1,0.9476,0.8013,0.28,0.7997,0.83,0.3639,85742.1729,14965.3936,0.825
76,0,1,0,0,1,1,0,0,0.9505,0.8218,0.2775,0.8068,0.8335,0.5734,79532.399,15195.5127,0.8324
77,0,1,0,0,1,1,0,1,0.9491,0.8218,0.2684,0.8092,0.8253,0.5734,79480.8985,15275.4854,0.8362
78,0,1,0,0,1,1,1,0,0.9452,0.8376,0.2704,0.7888,0.8243,0.5942,72301.4126,15373.8096,0.8108
79,0,1,0,0,1,1,1,1,0.9411,0.8387,0.2591,0.7846,0.8112,0.5932,71784.4203,15389.8135,0.8049
80,0,1,0,1,0,0,0,0,0.9527,0.6953,0.2902,0.8192,0.8367,0.2673,110754.7936,15382.1289,0.8661
81,0,1,0,1,0,0,0,1,0.95,0.6953,0.2879,0.8157,0.833,0.267,110756.1185,15298.7607,0.8572
82,0,1,0,1,0,0,1,0,0.9517,0.7196,0.2943,0.8025,0.8418,0.2754,105491.4152,15303.9521,0.8307
83,0,1,0,1,0,0,1,1,0.9511,0.7196,0.2927,0.8077,0.8404,0.2758,105859.9541,15250.1562,0.8372
84,0,1,0,1,0,1,0,0,0.9509,0.6921,0.2804,0.8122,0.8318,0.267,111222.6963,15606.625,0.8539
85,0,1,0,1,0,1,0,1,0.9424,0.6872,0.2636,0.8004,0.8104,0.2628,112979.8189,15592.4121,0.8427
86,0,1,0,1,0,1,1,0,0.9481,0.684,0.2808,0.7975,0.8332,0.2652,113868.617,15676.9893,0.8238
87,0,1,0,1,0,1,1,1,0.9454,0.7129,0.2675,0.7948,0.822,0.2733,107430.1409,15699.2773,0.8201
88,0,1,0,1,1,0,0,0,0.9501,0.733,0.2808,0.8139,0.8306,0.2892,106117.3209,15400.5527,0.8438
89,0,1,0,1,1,0,0,1,0.9507,0.7404,0.2818,0.8156,0.8316,0.292,103978.487,15341.1318,0.8461
90,0,1,0,1,1,0,1,0,0.9472,0.7978,0.2771,0.7962,0.8292,0.3603,87713.8868,15577.5381,0.8202
91,0,1,0,1,1,0,1,1,0.9472,0.8013,0.2776,0.7992,0.8289,0.3639,85677.6591,15478.9414,0.8242
92,0,1,0,1,1,1,0,0,0.9525,0.8218,0.2786,0.8116,0.8371,0.5734,79554.9861,15592.1543,0.8379
93,0,1,0,1,1,1,0,1,0.9499,0.8228,0.267,0.8109,0.8262,0.577,79111.1669,15626.4844,0.8375
94,0,1,0,1,1,1,1,0,0.9447,0.8376,0.267,0.7889,0.823,0.5939,71988.0601,15878.0605,0.8108
95,0,1,0,1,1,1,1,1,0.944,0.8376,0.2599,0.7887,0.8156,0.5942,72211.0457,15868.1895,0.811
96,0,1,1,0,0,0,0,0,0.9595,0.6907,0.2936,0.8306,0.849,0.2645,112713.6621,16128.6797,0.8725
97,0,1,1,0,0,0,0,1,0.9531,0.6893,0.2861,0.8217,0.8373,0.2645,113047.2497,16104.2715,0.8612
98,0,1,1,0,0,0,1,0,0.9533,0.7087,0.2935,0.8066,0.8445,0.2716,108851.8018,16109.7002,0.8354
99,0,1,1,0,0,0,1,1,0.9525,0.7133,0.2899,0.8106,0.8417,0.2737,107290.3249,16084.1787,0.8398
100,0,1,1,0,0,1,0,0,0.9512,0.6967,0.2759,0.8105,0.8301,0.267,110424.5422,16409.6816,0.8509
101,0,1,1,0,0,1,0,1,0.9465,0.6992,0.2633,0.8059,0.8157,0.2677,110054.1781,16396.0312,0.8468
102,0,1,1,0,0,1,1,0,0.9504,0.7182,0.2792,0.8031,0.8362,0.2754,105737.1373,16463.5156,0.8295
103,0,1,1,0,0,1,1,1,0.9465,0.7105,0.2679,0.7976,0.824,0.2726,108273.7014,16487.6543,0.8224
104,0,1,1,0,1,0,0,0,0.9545,0.7418,0.2791,0.8195,0.8363,0.3005,100976.4155,16189.0596,0.8494
105,0,1,1,0,1,0,0,1,0.9525,0.7489,0.279,0.8194,0.8334,0.3036,99240.4642,16153.1279,0.8484
