,"('V_CO', 'day')","('V_CO', 'night')","('V_G1', 'day')","('V_G1', 'night')","('V_G2', 'day')","('V_G2', 'night')","('V_G3', 'day')","('V_G3', 'night')",1,2,3,4,5,6,7,8,9
48,0,0,1,1,0,0,0,0,0.891,0.8197,0.2569,0.6986,0.7417,0.5858,81948.7318,15958.6787,0.6957
49,0,0,1,1,0,0,0,1,0.8909,0.8239,0.2563,0.6992,0.7408,0.5868,80311.0239,15943.0596,0.6961
50,0,0,1,1,0,0,1,0,0.8953,0.7718,0.2541,0.7091,0.7376,0.5114,103125.7456,15599.2744,0.7034
51,0,0,1,1,0,0,1,1,0.8949,0.7718,0.2539,0.7095,0.7367,0.5114,103100.4995,15567.0479,0.7036
52,0,0,1,1,0,1,0,0,0.8911,0.6925,0.2566,0.6971,0.7419,0.5245,130067.1958,15958.8496,0.6956
53,0,0,1,1,0,1,0,1,0.8912,0.8214,0.2561,0.6994,0.7407,0.5868,81021.2474,15941.6133,0.6962
54,0,0,1,1,0,1,1,0,0.8962,0.7718,0.2548,0.7102,0.738,0.5114,103119.534,15581.5869,0.7042
55,0,0,1,1,0,1,1,1,0.8953,0.7718,0.254,0.7099,0.7366,0.5114,103129.0713,15585.707,0.7039
56,0,0,1,1,1,0,0,0,0.8955,0.7707,0.2542,0.7087,0.7373,0.5079,102643.0079,15713.835,0.7025
57,0,0,1,1,1,0,0,1,0.8951,0.7707,0.254,0.7094,0.7362,0.5079,102644.4207,15682.9531,0.703
58,0,0,1,1,1,0,1,0,0.8959,0.771,0.2542,0.7108,0.7371,0.5114,103017.9417,15572.6064,0.7041
59,0,0,1,1,1,0,1,1,0.8956,0.771,0.2539,0.7116,0.7362,0.5114,102994.1239,15549.9766,0.7048
60,0,0,1,1,1,1,0,0,0.8964,0.7707,0.2546,0.71,0.7376,0.5079,102646.0761,15705.916,0.7035
61,0,0,1,1,1,1,0,1,0.8956,0.7707,0.2539,0.7097,0.7364,0.5079,102640.288,15705.7969,0.7032
62,0,0,1,1,1,1,1,0,0.8969,0.771,0.2547,0.7123,0.7377,0.5114,102994.3471,15564.5098,0.7053
63,0,0,1,1,1,1,1,1,0.896,0.771,0.254,0.7118,0.7361,0.5114,103016.5229,15512.9727,0.7047
64,0,1,0,0,0,0,0,0,0.8627,0.8175,0.2695,0.6704,0.7793,0.6132,86482.8883,17216.6133,0.6972
65,0,1,0,0,0,0,0,1,0.8834,0.8175,0.2692,0.6793,0.7837,0.6132,86586.8745,17222.8848,0.7011
66,0,1,0,0,0,0,1,0,0.8933,0.8091,0.2606,0.7277,0.7695,0.603,89239.157,16914.7852,0.7428
67,0,1,0,0,0,0,1,1,0.9135,0.7718,0.2616,0.7356,0.7731,0.5107,103533.49,16678.3984,0.7447
68,0,1,0,0,0,1,0,0,0.8854,0.8175,0.2713,0.6795,0.7882,0.6132,86648.0206,17224.3926,0.7005
69,0,1,0,0,0,1,0,1,0.8849,0.8175,0.269,0.6787,0.7846,0.6132,86655.6018,17224.6289,0.699
70,0,1,0,0,0,1,1,0,0.9148,0.7718,0.2624,0.7348,0.7756,0.5107,103554.5796,16577.25,0.743
71,0,1,0,0,0,1,1,1,0.914,0.7718,0.2609,0.7343,0.773,0.5107,103552.3117,16560.0625,0.7424
72,0,1,0,0,1,0,0,0,0.8947,0.808,0.2584,0.7302,0.7671,0.6009,89662.5761,16865.5176,0.7426
73,0,1,0,0,1,0,0,1,0.9145,0.8225,0.2603,0.7382,0.7713,0.5893,79931.4907,16645.7207,0.7445
74,0,1,0,0,1,0,1,0,0.8952,0.7957,0.2579,0.7335,0.7662,0.5854,95324.4746,16694.0469,0.7455
75,0,1,0,0,1,0,1,1,0.9154,0.8225,0.2595,0.7424,0.7703,0.5886,80218.1072,16303.2422,0.7475
76,0,1,0,0,1,1,0,0,0.9166,0.8225,0.262,0.7399,0.7753,0.5893,80063.8375,16578.6094,0.7457
77,0,1,0,0,1,1,0,1,0.9158,0.8225,0.2605,0.7392,0.7727,0.5893,80057.6573,16578.5645,0.745
78,0,1,0,0,1,1,1,0,0.918,0.8218,0.2618,0.7447,0.7751,0.5882,80332.5109,16252.8174,0.7494
79,0,1,0,0,1,1,1,1,0.9172,0.8221,0.2604,0.7441,0.7726,0.5882,80318.0597,16269.9248,0.7488
80,0,1,0,1,0,0,0,0,0.8865,0.8168,0.2717,0.6801,0.7893,0.6132,86679.3674,17223.5547,0.7015
81,0,1,0,1,0,0,0,1,0.8864,0.8172,0.2694,0.6797,0.7857,0.6132,86658.0215,17223.6992,0.7002
82,0,1,0,1,0,0,1,0,0.9158,0.7718,0.2637,0.7358,0.7779,0.5107,103553.4364,16678.998,0.7455
83,0,1,0,1,0,0,1,1,0.915,0.7718,0.2614,0.7347,0.7737,0.5107,103544.4833,16559.0547,0.7434
84,0,1,0,1,0,1,0,0,0.8862,0.8168,0.2714,0.6793,0.7882,0.6118,86981.5548,17224.6328,0.6989
85,0,1,0,1,0,1,0,1,0.8867,0.8175,0.2696,0.6798,0.7859,0.6132,86644.3448,17224.5898,0.6995
86,0,1,0,1,0,1,1,0,0.9158,0.7718,0.2634,0.7347,0.777,0.5107,103546.4696,16559.9551,0.7426
87,0,1,0,1,0,1,1,1,0.9158,0.7718,0.262,0.735,0.775,0.5107,103545.2934,16559.6992,0.7436
88,0,1,0,1,1,0,0,0,0.9172,0.8225,0.2628,0.7398,0.7768,0.5886,80104.8248,16560.5762,0.7465
89,0,1,0,1,1,0,0,1,0.9168,0.8225,0.2609,0.7396,0.7733,0.5893,80061.1886,16577.6445,0.746
90,0,1,0,1,1,0,1,0,0.9187,0.8218,0.2626,0.7448,0.7766,0.5882,80342.7264,16337.6963,0.7504
91,0,1,0,1,1,0,1,1,0.9182,0.8221,0.2609,0.7445,0.7733,0.5882,80331.1348,16268.9062,0.7499
92,0,1,0,1,1,1,0,0,0.9176,0.8221,0.2631,0.7398,0.7768,0.5893,80106.176,16509.8008,0.7455
93,0,1,0,1,1,1,0,1,0.9177,0.8225,0.2617,0.7403,0.7748,0.5893,80097.4579,16441.0078,0.7466
