,"('V_CO', 'day')","('V_CO', 'night')","('V_MV1', 'day')","('V_MV1', 'night')","('V_MV2', 'day')","('V_MV2', 'night')","('CV7', 'day')","('CV7', 'night')","('CV9', 'day')","('CV9', 'night')",1,2,3,4,5,6,7,8,9
39,0,0,0,0,1,0,0,1,1,1,0.8579,0.665,0.3255,0.6265,0.6496,0.3822,143393.7318,15206.3047,0.5966
40,0,0,0,0,1,0,1,0,0,0,0.8355,0.6502,0.3243,0.6182,0.6417,0.3797,151094.1503,15205.9111,0.5802
41,0,0,0,0,1,0,1,0,0,1,0.8361,0.6615,0.3247,0.6195,0.6426,0.3906,148936.8452,15205.9131,0.5814
42,0,0,0,0,1,0,1,0,1,0,0.8436,0.6456,0.3235,0.6221,0.6429,0.3783,152817.6557,15205.9072,0.5916
43,0,0,0,0,1,0,1,0,1,1,0.8433,0.6456,0.3235,0.6217,0.6427,0.3787,152793.9529,15205.9062,0.5916
44,0,0,0,0,1,0,1,1,0,0,0.8507,0.6661,0.3252,0.6213,0.6476,0.3815,143057.3605,15206.2998,0.5863
45,0,0,0,0,1,0,1,1,0,1,0.8514,0.6735,0.3255,0.6233,0.6485,0.392,141002.0138,15216.2217,0.588
46,0,0,0,0,1,0,1,1,1,0,0.8581,0.6418,0.3247,0.6248,0.6483,0.3596,151638.5349,15206.2988,0.5969
47,0,0,0,0,1,0,1,1,1,1,0.859,0.6562,0.3249,0.6255,0.6496,0.3896,148434.7837,15206.3096,0.5966
48,0,0,0,0,1,1,0,0,0,0,0.8187,0.6608,0.3275,0.6143,0.6437,0.3839,148504.9649,15223.082,0.5588
49,0,0,0,0,1,1,0,0,0,1,0.8347,0.6671,0.3284,0.6159,0.6516,0.3899,146306.092,15223.4854,0.5648
50,0,0,0,0,1,1,0,0,1,0,0.843,0.6456,0.325,0.6234,0.6439,0.3783,152730.3905,15205.9355,0.5924
51,0,0,0,0,1,1,0,0,1,1,0.8583,0.6664,0.3254,0.6248,0.6507,0.3822,143190.3449,15154.8955,0.5962
52,0,0,0,0,1,1,0,1,0,0,0.8335,0.6604,0.3278,0.6153,0.6491,0.3836,148630.4705,15206.3164,0.5633
53,0,0,0,0,1,1,0,1,0,1,0.8351,0.6608,0.3287,0.6168,0.652,0.3839,148553.5525,15223.5352,0.566
54,0,0,0,0,1,1,0,1,1,0,0.8571,0.6478,0.3248,0.6244,0.6483,0.3765,148090.351,15206.3184,0.595
55,0,0,0,0,1,1,0,1,1,1,0.8591,0.6682,0.3257,0.6272,0.6518,0.3822,142415.5634,15164.8008,0.5985
56,0,0,0,0,1,1,1,0,0,0,0.8356,0.639,0.3245,0.6176,0.6415,0.3632,154373.1452,15205.9297,0.5798
57,0,0,0,0,1,1,1,0,0,1,0.852,0.6442,0.3258,0.6216,0.65,0.3508,152038.3336,15189.1963,0.5879
58,0,0,0,0,1,1,1,0,1,0,0.8436,0.6333,0.3239,0.6223,0.6431,0.3688,157209.5323,15205.9316,0.5916
59,0,0,0,0,1,1,1,0,1,1,0.8601,0.6604,0.3256,0.6262,0.6511,0.3487,146168.7796,15154.8975,0.5988
60,0,0,0,0,1,1,1,1,0,0,0.8507,0.6664,0.3255,0.6213,0.6475,0.3818,142807.3517,15206.3154,0.5864
61,0,0,0,0,1,1,1,1,0,1,0.8537,0.658,0.3271,0.6255,0.6523,0.391,148877.4226,15189.2461,0.5911
62,0,0,0,0,1,1,1,1,1,0,0.8584,0.6509,0.3248,0.625,0.6482,0.3047,149444.8437,15172.0205,0.5971
63,0,0,0,0,1,1,1,1,1,1,0.8604,0.6685,0.3259,0.6281,0.6521,0.3822,142448.0659,15164.8047,0.6006
64,0,0,0,1,0,0,0,0,0,0,0.8358,0.6608,0.3355,0.6173,0.6602,0.3839,148674.8616,15206.0664,0.5678
65,0,0,0,1,0,0,0,0,0,1,0.8363,0.6615,0.3358,0.6174,0.6612,0.3853,148327.0132,15188.3125,0.568
