,"('V_LL_1', 'day')","('V_LL_1', 'night')","('CV4', 'day')","('CV4', 'night')","('CV5', 'day')","('CV5', 'night')",1,2,3,4,5,6,7,8,9
51,1,1,0,0,1,1,0.9263,0.8418,0.3293,0.7505,0.7761,0.5889,70856.9044,16135.418,0.7612
52,1,1,0,1,0,0,0.9259,0.8418,0.3278,0.7505,0.7754,0.5889,70854.1071,16135.8184,0.7612
53,1,1,0,1,0,1,0.9259,0.8418,0.3278,0.7505,0.7754,0.5889,70852.625,16135.8164,0.7612
54,1,1,0,1,1,0,0.9263,0.8418,0.3294,0.7505,0.7761,0.5889,70856.4307,16135.4248,0.7612
55,1,1,0,1,1,1,0.9264,0.8418,0.3294,0.7505,0.7761,0.5889,70856.0763,16135.4189,0.7612
56,1,1,1,0,0,0,0.9243,0.7714,0.3276,0.7465,0.7729,0.5298,100520.628,16118.3984,0.7565
57,1,1,1,0,0,1,0.9243,0.7714,0.3278,0.7464,0.7729,0.5298,100522.4352,16118.3994,0.7565
58,1,1,1,0,1,0,0.9244,0.7718,0.3276,0.7465,0.7729,0.5298,100498.1932,16118.3896,0.7566
59,1,1,1,0,1,1,0.9256,0.8408,0.3291,0.748,0.7746,0.5882,71367.8575,16135.3047,0.7578
60,1,1,1,1,0,0,0.9257,0.8418,0.3294,0.7492,0.775,0.5889,70874.7421,16135.5195,0.7593
61,1,1,1,1,0,1,0.9249,0.8024,0.3285,0.7473,0.7736,0.5643,88647.6098,16135.6074,0.757
62,1,1,1,1,1,0,0.9252,0.7714,0.329,0.7484,0.7744,0.5298,100522.4837,16118.3125,0.759
63,1,1,1,1,1,1,0.9252,0.7714,0.329,0.7484,0.7744,0.5298,100517.7223,16118.3164,0.759
