,time,evaluations,actions,cost,used budget,1,2,3,4,5,6,7,8,9
0,1709.6562750339508,41,6,15033.49844830637,223628.71280475243,0.9163,0.6513,0.3353,0.7271,0.7529,0.285,144973.0561,16755.1484,0.7441
0,1620.9619619846344,41,6,12768.716327262104,236397.42913201454,0.9191,0.652,0.3373,0.7305,0.7581,0.2853,144936.8965,16763.7598,0.7485
0,1664.8557043075562,42,3,1795.0972500000003,238192.52638201453,0.9138,0.652,0.3304,0.7245,0.7485,0.2853,144936.1612,16767.6914,0.7409
0,1610.9105942249298,41,14,18999.70046350853,257192.22684552305,0.9165,0.652,0.333,0.7285,0.7532,0.2892,144869.1742,16772.6797,0.7456
0,1612.4489369392395,41,14,17390.6175,274582.84434552304,0.9186,0.6569,0.337,0.7288,0.7582,0.2902,143652.8988,16759.1719,0.7462
0,1661.9727275371552,43,14,18211.616951836062,292794.4612973591,0.9171,0.6622,0.3326,0.7308,0.7539,0.2938,140793.9052,16740.3105,0.7483
0,1630.0822551250458,42,15,11118.341538742254,303912.8028361013,0.9155,0.6809,0.3285,0.7296,0.7498,0.2973,134294.5818,16777.2578,0.7456
0,1576.2128775119781,41,16,16297.267249133529,320210.0700852349,0.9197,0.7006,0.3304,0.7357,0.7533,0.3012,127671.7536,16790.9863,0.7533
0,1557.1299347877502,41,10,11768.32126005841,331978.3913452933,0.9193,0.7076,0.3277,0.7382,0.7504,0.3054,124858.1638,16793.0352,0.756
0,1554.0499444007874,41,7,11671.758250000003,343650.14959529333,0.9198,0.7309,0.3267,0.7426,0.7503,0.3114,115953.9594,16816.6426,0.7611
0,1559.56081533432,41,12,18260.612624255045,361910.7622195484,0.923,0.7312,0.331,0.7469,0.756,0.3142,115685.2162,16794.7676,0.7676
0,1555.527913570404,41,10,18668.84092174638,380579.6031412948,0.9202,0.7327,0.3266,0.7426,0.7517,0.3145,115211.1395,16817.8008,0.7614
0,1577.8766479492188,41,10,16495.0007612402,397074.603902535,0.9192,0.7341,0.3251,0.7437,0.7504,0.3149,114509.0628,16818.418,0.7628
0,1569.3617959022522,41,11,16211.636000000002,413286.239902535,0.9198,0.7344,0.3259,0.7417,0.7513,0.3149,114408.7966,16818.0176,0.7597
0,1644.0340073108673,43,13,17904.816735416014,431191.056637951,0.9211,0.7175,0.3289,0.7394,0.7557,0.3117,120959.196,16814.9961,0.7566
0,1583.5161974430084,42,5,21195.77275,452386.829387951,0.9229,0.7182,0.3298,0.7442,0.7586,0.3117,120848.247,16816.3965,0.7628
0,1561.7866806983948,41,10,16922.28779891164,469309.1171868626,0.9243,0.7196,0.3298,0.7461,0.7597,0.3121,120510.1813,16828.1074,0.7647
0,1587.911209821701,42,6,13675.946999999998,482985.0641868626,0.9214,0.7411,0.3254,0.7489,0.7547,0.3184,112251.389,16819.8125,0.7688
0,1539.616483926773,41,12,18187.468124071114,501172.53231093375,0.9216,0.7372,0.3259,0.7482,0.7562,0.3181,113534.4539,16785.9961,0.7676
0,1589.499529838562,42,13,16903.594458041793,518076.1267689755,0.9219,0.7376,0.3255,0.7466,0.7554,0.3184,113340.4388,16785.875,0.7658
0,1543.0339550971985,41,14,18652.459541033113,536728.5863100087,0.9254,0.7372,0.3293,0.7491,0.7608,0.3177,113285.052,16794.7559,0.7682
0,1544.7977323532104,41,13,16808.387027988265,553536.9733379969,0.9228,0.7415,0.3256,0.7501,0.7582,0.3184,112207.7004,16816.9727,0.7692
0,1510.433893918991,41,10,18683.78219421997,572220.7555322169,0.9244,0.721,0.327,0.7477,0.7604,0.3128,120047.1905,16816.8711,0.7662
0,1538.1445693969727,41,7,16696.621,588917.3765322169,0.922,0.7217,0.3236,0.7472,0.7567,0.3128,120062.2579,16796.5078,0.7652
0,1537.7723741531372,41,9,15765.531750000006,604682.9082822169,0.9259,0.7217,0.3274,0.7545,0.7619,0.3135,119870.6007,16807.166,0.7757
0,1491.5128726959229,41,5,12635.267250000003,617318.1755322169,0.9199,0.7425,0.3213,0.7435,0.7538,0.3212,111391.5838,16806.7969,0.7591
0,1535.7758605480194,41,7,10360.8565,627679.0320322169,0.9219,0.74,0.3239,0.7453,0.7576,0.3219,112530.3089,16805.9297,0.7612
0,1559.7901511192322,42,6,13378.002215006274,641057.0342472232,0.9267,0.7436,0.3295,0.7515,0.7649,0.3223,111571.8341,16783.1133,0.7694
0,1493.4946947097778,41,3,14876.33275,655933.3669972231,0.9234,0.7443,0.325,0.7437,0.7594,0.3223,111183.4834,16793.3887,0.758
0,1516.503449678421,41,6,13308.727000000006,669242.0939972231,0.9246,0.7249,0.3259,0.7534,0.7608,0.3163,118939.4121,16785.0098,0.773
